,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,19170.0,19170.0,19170.0
mean,0.6011830484627683,0.03583708944330628,23.290349504434012
std,0.07314076951094753,0.032428952072170975,22.653002731856283
min,0.3266010880470276,0.0,0.0
25%,0.5518790483474731,0.0,0.0
50%,0.6027408242225647,0.036035388708114624,13.0
75%,0.6517981290817261,0.056231141090393066,49.0
max,0.9370160102844238,0.23208072781562805,49.0
