,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,18836.0,18836.0,18836.0
mean,0.6001050394605137,0.038653252363508736,26.20471437672542
std,0.07601007398454267,0.03228155597616454,22.66182009016391
min,0.3028857707977295,0.0,0.0
25%,0.5486027002334595,0.004785671830177307,1.0
50%,0.6008532643318176,0.039171308279037476,30.0
75%,0.6534910500049591,0.05782619118690491,49.0
max,0.9308498501777648,0.26615995168685913,49.0
