,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,19170.0,19170.0,19170.0
mean,0.62303091096393,0.03578461366018157,24.521439749608763
std,0.07190586193768533,0.03082998106987347,22.525174083394788
min,0.35862916707992554,0.0,0.0
25%,0.5746679455041885,0.0023993849754333496,1.0
50%,0.6261360943317413,0.03504633903503418,19.0
75%,0.6736569702625276,0.054936274886131294,49.0
max,0.9100092053413392,0.22194239497184756,49.0
