,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,18836.0,18836.0,18836.0
mean,0.6236871467967731,0.06047073966234347,27.11462093862816
std,0.10501860718608393,0.045618733620144646,22.1304210687769
min,0.2882320284843445,0.0,0.0
25%,0.5500803589820862,0.02132412791252136,2.0
50%,0.6337491869926453,0.060405999422073364,33.0
75%,0.7028057128190994,0.0909227579832077,49.0
max,0.8979595899581909,0.2768788039684296,49.0
