,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,18836.0,18836.0,18836.0
mean,0.6255923574562917,0.060315470632270884,27.225313229985137
std,0.10460408948523515,0.04518569337475991,22.105355967389883
min,0.3093913495540619,0.0,0.0
25%,0.5513182878494263,0.02120164036750793,2.0
50%,0.6353556215763092,0.06079614162445069,34.0
75%,0.705085352063179,0.09054885804653168,49.0
max,0.8909943699836731,0.2907449603080749,49.0
