,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,18836.0,18836.0,18836.0
mean,0.6377935468435388,0.03824670293365828,27.93931832660862
std,0.07600931110564094,0.030080206727080956,22.27251594075432
min,0.3650972843170166,0.0,0.0
25%,0.5878176391124725,0.012681752443313599,2.0
50%,0.6406060457229614,0.03785267472267151,43.0
75%,0.6910987943410873,0.056885972619056695,49.0
max,0.9299845695495604,0.21949273347854611,49.0
