,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,19170.0,19170.0,19170.0
mean,0.644723261358779,0.03718914177091904,26.877412623891498
std,0.0736143828536894,0.02940180306101698,22.30609307535984
min,0.34418487548828125,0.0,0.0
25%,0.5961895436048508,0.011251926422119139,1.0
50%,0.6483016312122345,0.036539435386657715,33.0
75%,0.6978023797273636,0.056161373853683465,49.0
max,0.9262797832489014,0.2209180593490601,49.0
