,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,18836.0,18836.0,18836.0
mean,0.6302769505046031,0.059933355421834145,27.244160118921215
std,0.10326781033524095,0.0452643615667809,22.026400294517682
min,0.30558183789253235,0.0,0.0
25%,0.5606601536273956,0.022086933255195618,2.0
50%,0.6421058475971222,0.0597151517868042,34.0
75%,0.7065024822950363,0.08917675912380219,49.0
max,0.8951549530029297,0.29199910163879395,49.0
