,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,18836.0,18836.0,18836.0
mean,0.6600353364387903,0.05599304578643008,29.6475897218093
std,0.08871005518526465,0.03823405146789609,21.617166069853013
min,0.3051707148551941,0.0,0.0
25%,0.6042288243770599,0.028947576880455017,4.0
50%,0.6705898344516754,0.056052446365356445,49.0
75%,0.7236597537994385,0.08042854070663452,49.0
max,0.9277132749557496,0.2705771327018738,49.0
