,correct_word_similarity,top_minus_correct_similarity,similarity_index
count,19170.0,19170.0,19170.0
mean,0.595305685031271,0.03569440915208965,22.893635889410536
std,0.07454608541044144,0.03321236116224633,22.662348508889462
min,0.31810837984085083,0.0,0.0
25%,0.5441230237483978,0.0,0.0
50%,0.5959182977676392,0.03547146916389465,12.0
75%,0.6465186327695847,0.05638390779495238,49.0
max,0.9420639276504515,0.2442201375961304,49.0
